label,features
1,"[0.0,12.0,9.0]"
1,"[0.0,26.0,1.0]"
1,"[10.0,112.0,1.0]"
1,"[5.0,216.0,1.0]"
1,"[11.0,18.0,1.0]"
1,"[10.0,257.0,1.0]"
1,"[16.0,187.0,0.0]"
1,"[10.0,16.0,0.0]"
1,"[25.0,45.0,8.0]"
1,"[21.0,23.0,1.0]"
1,"[10.0,43.0,1.0]"
1,"[9.0,86.0,0.0]"
1,"[16.0,118.0,1.0]"
1,"[3.0,7.0,1.0]"
1,"[0.0,275.0,2.0]"
1,"[9.0,276.0,2.0]"
1,"[16.0,11.0,0.0]"
1,"[20.0,8.0,1.0]"
1,"[3.0,6.0,5.0]"
1,"[20.0,237.0,1.0]"
1,"[26.0,191.0,4.0]"
1,"[27.0,66.0,5.0]"
1,"[0.0,165.0,4.0]"
1,"[20.0,81.0,0.0]"
1,"[10.0,15.0,4.0]"
1,"[0.0,181.0,1.0]"
1,"[0.0,78.0,2.0]"
1,"[10.0,7.0,1.0]"
0,"[15.0,2.0,2.0]"
0,"[8.0,4.0,2.0]"
0,"[8.0,1.0,0.0]"
0,"[6.0,1.0,0.0]"
0,"[15.0,1.0,0.0]"
0,"[1.0,1.0,0.0]"
0,"[7.0,2.0,2.0]"
0,"[7.0,3.0,2.0]"
0,"[14.0,0.0,3.0]"
0,"[4.0,4.0,0.0]"
0,"[14.0,2.0,3.0]"
0,"[17.0,3.0,2.0]"
0,"[12.0,2.0,2.0]"
0,"[1.0,0.0,3.0]"
0,"[14.0,0.0,0.0]"
0,"[8.0,3.0,2.0]"
0,"[15.0,0.0,0.0]"
0,"[8.0,1.0,0.0]"
0,"[2.0,0.0,2.0]"
0,"[4.0,1.0,3.0]"
0,"[15.0,4.0,0.0]"
0,"[6.0,2.0,3.0]"
0,"[14.0,2.0,3.0]"
0,"[12.0,3.0,0.0]"
0,"[2.0,4.0,3.0]"
0,"[13.0,1.0,2.0]"
0,"[4.0,1.0,0.0]"
0,"[15.0,3.0,2.0]"
0,"[17.0,1.0,0.0]"
0,"[1.0,1.0,0.0]"
0,"[14.0,1.0,0.0]"
0,"[8.0,1.0,0.0]"
0,"[7.0,4.0,2.0]"
0,"[8.0,2.0,3.0]"
0,"[6.0,0.0,0.0]"
0,"[7.0,0.0,2.0]"
0,"[1.0,0.0,0.0]"
0,"[4.0,3.0,2.0]"
0,"[7.0,2.0,0.0]"
0,"[13.0,4.0,2.0]"
0,"[2.0,4.0,2.0]"
0,"[8.0,2.0,0.0]"
0,"[8.0,1.0,2.0]"
0,"[1.0,3.0,0.0]"
0,"[6.0,2.0,0.0]"
0,"[13.0,1.0,0.0]"
0,"[13.0,1.0,3.0]"
0,"[13.0,1.0,0.0]"
0,"[7.0,3.0,2.0]"
0,"[7.0,1.0,0.0]"
0,"[2.0,3.0,2.0]"
0,"[15.0,0.0,0.0]"
0,"[12.0,2.0,0.0]"
0,"[8.0,1.0,2.0]"
0,"[14.0,1.0,3.0]"
0,"[6.0,1.0,3.0]"
0,"[1.0,0.0,2.0]"
0,"[4.0,3.0,3.0]"
0,"[8.0,4.0,2.0]"
0,"[7.0,4.0,0.0]"
0,"[1.0,2.0,3.0]"
0,"[2.0,3.0,3.0]"
0,"[7.0,4.0,0.0]"
0,"[6.0,2.0,0.0]"
0,"[6.0,4.0,0.0]"
0,"[8.0,1.0,2.0]"
0,"[7.0,2.0,2.0]"
0,"[15.0,3.0,0.0]"
0,"[13.0,0.0,3.0]"
0,"[2.0,4.0,3.0]"
0,"[17.0,3.0,3.0]"
0,"[13.0,0.0,2.0]"
0,"[1.0,0.0,2.0]"
0,"[2.0,1.0,2.0]"
0,"[2.0,0.0,2.0]"
0,"[8.0,2.0,2.0]"
0,"[13.0,4.0,0.0]"
0,"[8.0,2.0,3.0]"
0,"[17.0,2.0,0.0]"
0,"[14.0,4.0,2.0]"
0,"[12.0,0.0,3.0]"
0,"[8.0,3.0,2.0]"
0,"[4.0,4.0,0.0]"
0,"[14.0,0.0,2.0]"
0,"[6.0,2.0,3.0]"
0,"[14.0,4.0,2.0]"
0,"[6.0,2.0,2.0]"
0,"[4.0,3.0,3.0]"
0,"[17.0,1.0,3.0]"
0,"[13.0,2.0,3.0]"
0,"[6.0,3.0,3.0]"
0,"[2.0,2.0,2.0]"
0,"[2.0,2.0,2.0]"
0,"[15.0,1.0,3.0]"
0,"[8.0,3.0,3.0]"
0,"[4.0,1.0,3.0]"
0,"[15.0,3.0,0.0]"
0,"[8.0,3.0,0.0]"
0,"[2.0,1.0,3.0]"
0,"[13.0,0.0,2.0]"
0,"[4.0,1.0,2.0]"
0,"[15.0,1.0,3.0]"
0,"[2.0,3.0,3.0]"
0,"[2.0,3.0,0.0]"
0,"[1.0,2.0,0.0]"
0,"[2.0,2.0,0.0]"
0,"[6.0,2.0,2.0]"
0,"[2.0,0.0,3.0]"
0,"[13.0,2.0,0.0]"
0,"[4.0,2.0,0.0]"
0,"[6.0,4.0,0.0]"
0,"[14.0,4.0,2.0]"
0,"[6.0,2.0,2.0]"
0,"[13.0,0.0,3.0]"
0,"[2.0,0.0,2.0]"
0,"[13.0,2.0,3.0]"
0,"[15.0,3.0,3.0]"
0,"[13.0,1.0,3.0]"
0,"[2.0,1.0,3.0]"
0,"[1.0,0.0,0.0]"
0,"[13.0,0.0,3.0]"
0,"[12.0,1.0,3.0]"
0,"[15.0,2.0,3.0]"
0,"[1.0,2.0,3.0]"
0,"[2.0,1.0,2.0]"
0,"[2.0,0.0,3.0]"
0,"[6.0,4.0,3.0]"
0,"[7.0,4.0,0.0]"
0,"[7.0,1.0,0.0]"
0,"[15.0,4.0,3.0]"
0,"[2.0,4.0,3.0]"
0,"[8.0,0.0,2.0]"
0,"[7.0,0.0,0.0]"
0,"[17.0,2.0,0.0]"
0,"[8.0,4.0,2.0]"
0,"[8.0,0.0,0.0]"
0,"[15.0,0.0,3.0]"
0,"[14.0,2.0,0.0]"
0,"[1.0,3.0,0.0]"
0,"[17.0,3.0,0.0]"
0,"[14.0,3.0,3.0]"
0,"[13.0,1.0,0.0]"
0,"[8.0,1.0,0.0]"
0,"[14.0,2.0,3.0]"
0,"[12.0,2.0,3.0]"
0,"[15.0,0.0,3.0]"
